mcs,E,M,Ms,E_prom,E2_prom,M_prom,M2_prom,Ms_prom,Ms2_prom,Ms4_prom
0,-263.19999999999845,-4,0.046875,263.19999999999845,69274.23999999919,4.0,16.0,0.046875,0.002197265625,4.827976226806641e-06
1,-267.5999999999983,-10,0.01171875,265.3999999999984,70441.99999999914,7.0,58.0,0.029296875,0.00116729736328125,2.423417754471302e-06
2,-269.9999999999982,0,0.0,266.93333333333163,71261.33333333244,4.666666666666667,38.666666666666664,0.01953125,0.0007781982421875,1.6156118363142014e-06
3,-269.9999999999982,0,0.0,267.6999999999983,71670.99999999908,3.5,29.0,0.0146484375,0.000583648681640625,1.211708877235651e-06
4,-269.5999999999982,-2,0.00390625,268.0799999999983,71873.63199999908,3.2,24.0,0.0125,0.000469970703125,9.694136679172517e-07
5,-269.5999999999982,-2,0.00390625,268.3333333333316,72008.71999999907,3.0,20.666666666666668,0.011067708333333334,0.0003941853841145833,8.07883528371652e-07
6,-269.9999999999982,0,0.0,268.5714285714268,72136.04571428477,2.5714285714285716,17.714285714285715,0.009486607142857142,0.00033787318638392856,6.924715957471303e-07
7,-269.9999999999982,0,0.0,268.74999999999824,72231.53999999906,2.25,15.5,0.00830078125,0.0002956390380859375,6.05912646278739e-07
8,-269.9999999999982,0,0.0,268.8888888888871,72305.8133333324,2.0,13.777777777777779,0.007378472222222222,0.0002627902560763889,5.385890189144346e-07
9,-269.9999999999982,0,0.0,268.99999999999824,72365.23199999906,1.8,12.4,0.006640625,0.00023651123046875,4.847301170229912e-07
10,-269.9999999999982,0,0.0,269.0909090909073,72413.84727272634,1.6363636363636365,11.272727272727273,0.006036931818181818,0.00021501020951704547,4.406637427481738e-07
11,-269.9999999999982,0,0.0,269.16666666666487,72454.35999999907,1.5,10.333333333333334,0.005533854166666667,0.00019709269205729166,4.03941764185826e-07
12,-269.5999999999982,2,0.00390625,269.1999999999982,72472.03692307598,1.2307692307692308,9.846153846153847,0.005408653846153846,0.00018310546875,3.728872308364281e-07
13,-269.5999999999982,2,0.00390625,269.22857142856964,72487.18857142763,1.0,9.428571428571429,0.005301339285714286,0.00017111642020089285,3.462690593940871e-07
