T,L,E,Ms,Cv,chi_s,U,periodica,intento
3.5,16,-105.88862857143086,0.04455078125,0.06805431736672246,0.04242360092474492,0.3117312082029261,False,0
3.0,16,-115.14800000000085,0.04633482142857143,0.08304842956349272,0.05239846343537413,0.3126658444667695,False,0
2.5,16,-126.96840000000519,0.049566964285714284,0.10291283304286025,0.0728418693877551,0.2991583573450062,False,0
2.0,16,-141.6012000000043,0.05333091517857143,0.13164711912946458,0.1045437356106505,0.30312273934595035,False,0
1.5,16,-161.93611428571435,0.0622890625,0.202610771405893,0.18845892410714282,0.31203642650883345,False,0
1.0,16,-199.0664571428569,0.10522935267857143,0.5145093549872115,0.8943843238998723,0.23292700693647506,False,0
0.5,16,-263.59285714285636,0.4407723214285714,0.1064109885205653,0.2656045127551039,0.6632661388462782,False,0
0.1,16,-269.7994285714267,0.4980083705357143,0.031089158164832036,0.021268525988560327,0.6666224637572773,False,0
3.5,16,-106.17948571428776,0.04573604910714286,0.06457553635880695,0.04307173193786443,0.31572110196729364,False,5
3.0,16,-115.71817142857239,0.046661272321428575,0.0824863001360517,0.052626124335671744,0.31415966774025794,False,5
2.5,16,-126.95617142857205,0.04902622767857143,0.1034977422673478,0.07153660634566328,0.3040914304367427,False,5
2.0,16,-142.18354285714403,0.05284877232142857,0.13209937836734653,0.10426004364636476,0.298384409754443,False,5
1.5,16,-162.36902857142806,0.06203125,0.1919065886394454,0.1892251488095237,0.3024516749569357,False,5
1.0,16,-199.39811428571284,0.10250223214285714,0.501155700395401,0.7948051772959186,0.29716931088842335,False,5
0.5,16,-263.50874285714013,0.4401646205357143,0.11061094852038877,0.2820242944834064,0.6630619643184685,False,5
0.1,16,-269.80228571428387,0.4980407366071429,0.029980102027593596,0.020078028539458614,0.6666248648398644,False,5
3.5,16,-106.10331428572127,0.04514118303571429,0.06928949722615478,0.04194418620171282,0.3166191909230869,False,7
3.0,16,-115.45005714285836,0.04685212053571428,0.08336847594104234,0.0526031919377126,0.32294508723545245,False,7
2.5,16,-127.12382857143442,0.049040178571428575,0.09730355941020548,0.07121950255102037,0.31117652292122455,False,7
