T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.7470407330247535,187.70338436923623,0.0338059027777777,0.2060701801059647,0.6342957960224503,0.0933863661689814,0.315173602015982,True,5,5000,0.5
1.7,24,-0.814512885802478,220.5931423746139,0.0343834104938271,0.2538488624163884,0.7540464206944727,0.1141244586036472,0.305753531569769,True,5,5000,0.5
1.6,24,-0.8415990895061243,234.62274171685075,0.0344510030864197,0.2747623176472183,0.8070930861578695,0.1230216955482682,0.3065193048453789,True,5,5000,0.5
1.5,24,-0.8696063888888365,249.8706695406769,0.0346763888888888,0.301444391767358,0.869332103749718,0.1336991933333332,0.3061200846073315,True,5,5000,0.5
1.4,24,-0.9014649537036523,267.33628141596853,0.0347247685185185,0.3264314456103889,0.9436604686268384,0.1444634563271604,0.3006610767831549,True,5,5000,0.5
1.3,24,-0.9358937345678553,287.3495255660985,0.0346056327160493,0.3630419726385162,1.0298624213969094,0.1546249719821671,0.2986151512924945,True,5,5000,0.5
1.2,24,-0.9734890354938334,310.5519877336059,0.0343519675925926,0.3995160758401434,1.1202732218314777,0.1668742373906891,0.2922817242461886,True,5,5000,0.5
1.1,24,-1.0162593441358003,337.8174707228728,0.0339290509259259,0.4495282328468801,1.2689726670677686,0.1770706466820989,0.2882469935601989,True,5,5000,0.5
1.0,24,-1.0647066820987634,371.2166840736873,0.0323976851851851,0.5032234090469703,1.4112751241946675,0.177265377654321,0.2886546140707781,True,5,5000,0.5
0.9,24,-1.1168357793209833,410.285682540388,0.0299836805555555,0.5500290284386018,1.591858969717589,0.1743803971107682,0.2665689480896278,True,5,5000,0.5
0.8,24,-1.1739759104938206,457.0989089131353,0.0263802469135802,0.5749618313141505,1.7180914862977184,0.1619478436042521,0.2315057979859365,True,5,5000,0.5
0.7,24,-1.2298070524691278,508.046354525455,0.0199253086419753,0.5158379479837422,1.498579755131239,0.1192805417205565,0.159493845491057,True,5,5000,0.5
0.6,24,-1.273817785493811,551.2610386435857,0.0113363040123456,0.3132166836964228,0.7970346658868477,0.0732456453346479,-0.2209396829702821,True,5,5000,0.5
0.5,24,-1.2945635119047463,571.4093883031913,0.0032565476190476,0.1012482725612547,0.1641594838363542,0.0266656601360544,-1.5943533056069397,True,5,15000,0.5
0.4,24,-1.2994455357142702,575.6037827490643,0.00033125,0.0162938449180829,0.0146435869644139,0.0034025096230158,-17.65910506968665,True,5,15000,0.5
0.3,24,-1.2999842757936348,575.9905716979515,8.184523809523808e-06,0.0007813761503375,0.0003400843077003,8.502350245653818e-05,-362.1193640619599,True,5,15000,0.5
0.2,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,5,15000,0.5
0.1,24,-1.299999999999984,576.0,0.0,0.0,0.0,0.0,,True,5,15000,0.5
