T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-0.7463604398148088,187.56578742694606,0.3256369598765432,0.2055266139320161,0.636623728699596,0.6364864711505565,0.639705507565659,True,18,5000,0.5
1.7,24,-0.8147246604939062,220.75202773271704,0.38324969135802467,0.2526954445837713,0.7496676607411098,0.7496823790526917,0.6470410504619404,True,18,5000,0.5
1.6,24,-0.8411229243826845,234.56163196373413,0.4072239969135802,0.2739979179398351,0.8108396519079264,0.8108395166131077,0.6489332744674843,True,18,5000,0.5
1.5,24,-0.8698969135803103,249.84182573720585,0.4337533950617284,0.2953347870811684,0.8656323613486839,0.8656507198536829,0.6509865150645983,True,18,5000,0.5
1.4,24,-0.9013935493827212,267.65671873958354,0.4646824074074074,0.3273579710672131,0.9465263919810061,0.9465406705467418,0.6527071715846795,True,18,5000,0.5
1.3,24,-0.9354901234567813,287.23295037888045,0.49866944444444444,0.35630455109128173,1.0078185044718284,1.007815538841418,0.6546623473524802,True,18,5000,0.5
1.2,24,-0.9740822299382592,310.4974556120975,0.5390587191358025,0.4066084056773187,1.1320439007820202,1.1320603069244228,0.6559730920397236,True,18,5000,0.5
1.1,24,-1.017163078703704,338.0526654963223,0.5868946759259259,0.45236366620105545,1.289490956835862,1.2893935683221,0.657267229223057,True,18,5000,0.5
1.0,24,-1.0636796604938228,370.51745516766294,0.6432598765432099,0.5083847476868565,1.4175087212168667,1.417535953689935,0.6588360686941565,True,18,5000,0.5
0.9,24,-1.116376026234567,409.87178062709717,0.7115837191358024,0.5551472337426359,1.5789748642682304,1.578993024596116,0.6602587674746454,True,18,5000,0.5
0.8,24,-1.1734880709876465,456.73927246061197,0.7929492283950618,0.5818747382480497,1.7233663077057473,1.7233785112996802,0.6616728664332592,True,18,5000,0.5
0.7,24,-1.2302665277777773,508.9466456300971,0.8835871913580247,0.5102161689366496,1.4663175527402927,1.4663301288458035,0.6636901006684359,True,18,5000,0.5
0.6,24,-1.2738396759259125,551.529610453101,0.9575158950617285,0.32696679022985425,0.7857301469736437,0.7857206628026603,0.6655083332784291,True,18,5000,0.5
0.5,24,-1.294597480158716,571.3235621839376,0.9918815476190478,0.10290548492533465,0.1849781135485197,0.18497807759605678,0.6664556388066263,True,18,15000,0.5
0.4,24,-1.2994990277777623,575.650181423388,0.9993926587301587,0.014784046197746644,0.012522065508922726,0.012522408106612204,0.6666552889395017,True,18,15000,0.5
0.3,24,-1.2999892658730001,575.9941715950973,0.9999898809523808,0.0005270844498968304,0.00017307888474196837,0.00017308382503244957,0.6666665477134146,True,18,15000,0.5
0.2,24,-1.299999999999984,576.0,1.0,0.0,0.0,0.0,0.6666666666666667,True,18,15000,0.5
0.1,24,-1.299999999999984,576.0,1.0,0.0,0.0,0.0,0.6666666666666667,True,18,15000,0.5
