T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-335.69694222228566,21.860403102153285,0.03832411265432099,0.13355442726901223,0.23764408345493038,0.1200952540633573,0.3115199712700053,True,21,5000,0.0
1.7,24,-361.0334044443946,21.969111797515612,0.04204876543209877,0.1635304758111103,0.27950053055734897,0.1703486800936011,0.30955459275856123,True,21,5000,0.0
1.6,24,-371.2515200000246,21.821826181640407,0.04381176697530864,0.18041995918980858,0.2948296606700695,0.19664153259977288,0.3103726739993835,True,21,5000,0.0
1.5,24,-381.7082133333733,21.646763405257662,0.046163425925925934,0.19669782860685778,0.31148981028533657,0.2318231589300408,0.31446410686214044,True,21,5000,0.0
1.4,24,-394.2192355555645,21.37672496166752,0.04988302469135803,0.22486181007702638,0.326038124575099,0.29433071292377005,0.30114376174036905,True,21,5000,0.0
1.3,24,-408.17256888893536,21.237972489500233,0.05458491512345679,0.2662304783730301,0.3422864508700003,0.38554893407658003,0.2939758954667424,True,21,5000,0.0
1.2,24,-425.25347555557283,21.03508810915313,0.06296404320987654,0.3383093095320815,0.36564650401916376,0.572335038877458,0.27890490495769904,True,21,5000,0.0
1.1,24,-448.63473777778233,20.25026110530877,0.08052951388888889,0.527436989143517,0.3768780432626193,1.1033036221590908,0.20431424927107222,True,21,5000,0.0
1.0,24,-508.53626666664803,17.6130308215373,0.18222781635802465,2.6840891455555416,0.3219151194296858,7.309464048332485,0.26330613496843036,True,21,5000,0.0
0.9,24,-648.804604444449,7.7876936068087375,0.46983672839506174,0.7583557844633486,0.07920810027607456,0.22805152966007824,0.6646609228608225,True,21,5000,0.0
0.8,24,-675.3891911111238,4.364214128574921,0.49069618055555553,0.2746637841531827,0.03521924678837464,0.03831381920335275,0.6663781706434273,True,21,5000,0.0
0.7,24,-685.7688711111258,2.070309548676696,0.4971660108024691,0.11055731250438874,0.016174769561337073,0.009551886330397354,0.6666048286821377,True,21,5000,0.0
0.6,24,-689.7438577777921,0.6705184329237128,0.4993039737654321,0.03765396972405008,0.006148768762247663,0.0021872532564604086,0.6666545913957393,True,21,5000,0.0
0.5,24,-690.9500114285861,0.11976800662838205,0.49988998015873015,0.008885757936594827,0.001211268221326,0.00034061926300310574,0.6666650997861868,True,21,15000,0.0
0.4,24,-691.1821028571575,0.008285477557784063,0.4999926091269842,0.0009693419012061589,9.444140032361211e-05,2.459891930151059e-05,0.6666665760480406,True,21,15000,0.0
0.3,24,-691.1997257143004,0.00011428244907288363,0.4999999007936508,2.5395377038584243e-05,1.3226379494652847e-06,3.306688789450618e-07,0.6666666657513276,True,21,15000,0.0
0.2,24,-691.2000000000147,0.0,0.5,2.526374171591467e-12,0.0,0.0,0.6666666666666667,True,21,15000,0.0
0.1,24,-691.2000000000147,0.0,0.5,1.0105496686365867e-11,0.0,0.0,0.6666666666666667,True,21,15000,0.0
