T,h,delta_S_M
0.2,0.0,0.0006499814291015
0.3,0.0,0.04767006656952599
0.4,0.0,0.6042470215136709
0.5,0.0,3.24819002542843
0.6,0.0,9.632369946680573
0.7,0.0,18.460445323437256
0.8,0.0,28.890169107353163
0.9,0.0,66.38225261660853
1.0,0.0,62.32374836114751
1.1,0.0,16.355125441656874
1.2,0.0,4.85864758560922
1.3,0.0,3.030643763471926
1.4,0.0,1.9392513499699864
1.5,0.0,1.3355592097953195
1.6,0.0,0.893624586120332
1.7,0.0,0.3447562276393868
0.2,0.5,-0.03532756206936938
0.3,0.5,-2.243350189994544
0.4,0.5,-24.202987057512928
0.5,0.5,-122.09117412220908
0.6,0.5,-313.3778883536849
0.7,0.5,-471.2325114997445
0.8,0.5,-492.69276238305775
0.9,0.5,-430.89890224661656
1.0,0.5,-359.64609119797376
1.1,0.5,-300.30980978200495
1.2,0.5,-252.80942090175762
1.3,0.5,-216.457856492078
1.4,0.5,-187.91100197773378
1.5,0.5,-164.32957600942217
1.6,0.5,-145.28322148396714
1.7,0.5,-117.288263038599
