T,L,E,M,Ms,Cv,chi,chi_s,U,periodica,intento,tao,h
2.0,24,-429.89705333333654,187.61591964623008,0.03357673611111111,0.20575258187955114,0.6396250136410104,0.09144785644675923,0.31667386330413994,True,13,5000,0.5
1.7,24,-469.3520311110972,220.74091686851403,0.03428769290123457,0.25207142571179453,0.753135323158622,0.11446704784505365,0.30396995858033815,True,13,5000,0.5
1.6,24,-484.3045155555157,234.2470611764183,0.03441466049382716,0.2761754431067507,0.8106727926744541,0.12237769376714684,0.3052348343514296,True,13,5000,0.5
1.5,24,-500.9904355555811,249.6737850269994,0.034620524691358026,0.29900515026516294,0.8670217607354634,0.1329034359304984,0.30362921325726766,True,13,5000,0.5
1.4,24,-519.1430488888805,267.3784582564832,0.03446566358024692,0.32607651576457514,0.9379576473871848,0.14278073406574546,0.29960357975355467,True,13,5000,0.5
1.3,24,-539.1629199999895,287.37574720561764,0.03463360339506173,0.36682322321549515,1.0248323865150082,0.15430465784992606,0.30017162664952224,True,13,5000,0.5
1.2,24,-560.9891999999978,310.285682540388,0.034274537037037034,0.40390556496501556,1.147726786153111,0.16639723878600832,0.2934216548453368,True,13,5000,0.5
1.1,24,-585.2679155555538,337.58929801559964,0.0336684799382716,0.45321792918073733,1.2778059689977186,0.17520037959143914,0.28707525545068135,True,13,5000,0.5
1.0,24,-613.2659777777768,370.95415657429834,0.032298341049382714,0.49787481141872075,1.4213756061984288,0.17913992032836074,0.2818202595745407,True,13,5000,0.5
0.9,24,-643.346986666664,410.0027999377792,0.03010740740740741,0.5388702489802414,1.5611084691605401,0.17854452688614533,0.26395440741559895,True,13,5000,0.5
0.8,24,-675.6242933333331,456.2548832248172,0.026070524691358024,0.5776429110317355,1.706132248441021,0.1576994389746228,0.23503309685804952,True,13,5000,0.5
0.7,24,-708.581479999994,508.5548321148419,0.01972094907407407,0.5242260302843524,1.5011356753667127,0.11642078570326288,0.1537941323278229,True,13,5000,0.5
0.6,24,-733.6367155555502,551.0862425279438,0.011341010802469135,0.3239960410840546,0.8208481614986307,0.07385343981338598,-0.20561560197003814,True,13,5000,0.5
0.5,24,-745.6101142857053,571.2105368418045,0.0034267857142857142,0.10204708324292572,0.18788526220830842,0.03246091537414966,-3.1270110666888122,True,13,15000,0.5
0.4,24,-748.4819257142766,575.5982400502843,0.0003310019841269842,0.015810939423014734,0.014643734830062587,0.003430895943168934,-18.5863559013261,True,13,15000,0.5
0.3,24,-748.7948628571338,575.9954858432616,3.918650793650794e-06,0.0004349627084189302,0.00012752392986267635,3.1881892479213906e-05,-581.8791824389021,True,13,15000,0.5
0.2,24,-748.7999999999909,576.0,0.0,0.0,0.0,0.0,,True,13,15000,0.5
0.1,24,-748.7999999999909,576.0,0.0,0.0,0.0,0.0,,True,13,15000,0.5
2.0,24,-429.92421777772273,187.40454656563188,0.03351523919753086,0.2037165440535015,0.6266856922811522,0.09312131506129977,0.30937592429237826,True,16,5000,0.5
1.7,24,-469.3632933333387,220.65954089909113,0.03428653549382716,0.25253297406889186,0.7558285384624726,0.11468824797819331,0.30163739261025735,True,16,5000,0.5
1.6,24,-484.3281644443821,234.29021577298283,0.03463121141975309,0.27028717424381427,0.7959036525173246,0.12349029070162451,0.3090970969335911,True,16,5000,0.5
1.5,24,-500.9709199999931,249.78876024977222,0.03463923611111111,0.30286424804374146,0.870341048875212,0.13200267958333342,0.3079769431902405,True,16,5000,0.5
1.4,24,-519.5409466666713,267.4956556520966,0.034686226851851854,0.32930850953622,0.9444576661711301,0.1440501448357583,0.2977016429731195,True,16,5000,0.5
1.3,24,-539.16119999997,287.58298704473236,0.03468233024691358,0.3621788958105426,1.0264599276378925,0.15406773032341475,0.3034600209095637,True,16,5000,0.5
1.2,24,-561.4588044444463,311.25228328259374,0.034344483024691355,0.4083018677039754,1.139425580534058,0.16483644212891524,0.29942545246647423,True,16,5000,0.5
1.1,24,-585.9589822222204,338.4591453523255,0.03382056327160494,0.4521271735466377,1.2603818238218045,0.17619294126371748,0.2907272156659957,True,16,5000,0.5
