T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,24,-324.7764000000008,0.0363599537037037,0.13199576289352105,0.10877248263888892,0.3078839707995338,False,10,5000
1.7,24,-350.27990222216283,0.03944444444444444,0.16688293049107267,0.15072866739288326,0.31268889905118735,False,10,5000
1.5,24,-371.10646222223187,0.04300347222222222,0.1954002695607796,0.20279113940329221,0.30556965720534857,False,10,5000
1.3,24,-396.93167111112183,0.04958915895061729,0.26114085356707833,0.3138953992554341,0.3047894262953891,False,10,5000
1.2,24,-413.6210488888782,0.05535570987654321,0.31847817811458273,0.41941948702560583,0.3007354948405654,False,10,5000
1.1,24,-434.31623111109735,0.06496060956790124,0.4307857076062986,0.6308407096887076,0.3097062246798217,False,10,5000
1.0,24,-465.8737955555656,0.0884479938271605,0.6879925948964127,1.4032467976817558,0.26480216909629595,False,10,5000
0.9,24,-521.1886933332968,0.17155752314814812,1.239557064813365,5.721313794161526,0.3511663212830862,False,10,5000
0.8,24,-581.552097777784,0.34571176697530864,0.6905145605450177,5.603134488810664,0.6215927282540503,False,10,5000
0.7,24,-607.4435022222347,0.4182736111111111,0.28250984820248415,0.5374750280423309,0.6619847746930085,False,10,5000
0.5,24,-624.9035200000068,0.4558738095238095,0.07226894570097404,0.2714175650340067,0.6652110302902763,False,10,15000
0.3,24,-630.4910971428665,0.47814042658730155,0.03744900015006374,0.15722345180941844,0.6661997597583076,False,10,15000
0.1,24,-634.4842057142971,0.4986059027777778,0.021349945048617272,0.014576728670512296,0.666653151499867,False,10,15000
